Text,Tokenized,Cleaned_Tokens,Cleaned_Text,Sentiment
hope got rid still got happy god bless friends,"['hope', 'got', 'rid', 'still', 'got', 'happy', 'god', 'bless', 'friends']","['hope', 'got', 'rid', 'still', 'got', 'happy', 'god', 'bles', 'friend']",hope got rid still got happy god bles friend,3
hi baby going though thing glad contacted day great help lov best friend cancer spread life,"['hi', 'baby', 'going', 'though', 'thing', 'glad', 'contacted', 'day', 'great', 'help', 'lov', 'best', 'friend', 'cancer', 'spread', 'life']","['baby', 'going', 'though', 'thing', 'glad', 'day', 'great', 'help', 'best', 'friend', 'cancer', 'spread', 'life']",baby going though thing glad day great help best friend cancer spread life,3
sorry go know going wish best journey,"['sorry', 'go', 'know', 'going', 'wish', 'best', 'journey']","['sorry', 'know', 'going', 'wish', 'best', 'journey']",sorry know going wish best journey,2
ciento mucho el proselitismo pero ay dios va ayudarte poderoso,"['ciento', 'mucho', 'el', 'proselitismo', 'pero', 'ay', 'dios', 'va', 'ayudarte', 'poderoso']",[],,1
curry blake jglm ministries changed life hope able change well,"['curry', 'blake', 'jglm', 'ministries', 'changed', 'life', 'hope', 'able', 'change', 'well']","['life', 'hope', 'abl', 'change', 'well']",life hope abl change well,1
manage hair loss,"['manage', 'hair', 'loss']","['hair', 'loss']",hair loss,1
sorry hear cancer type cancer battling,"['sorry', 'hear', 'cancer', 'type', 'cancer', 'battling']","['sorry', 'hear', 'cancer', 'typ', 'cancer', 'battling']",sorry hear cancer typ cancer battling,0
thank much sharing really brave,"['thank', 'much', 'sharing', 'really', 'brave']","['thank', 'much', 'sharing', 'really', 'brave']",thank much sharing really brave,2
35 radiations 5 chemos im done lost 40 pounds come back cancer behind win,"['35', 'radiations', 'chemos', 'im', 'done', 'lost', '40', 'pounds', 'come', 'back', 'cancer', 'behind', 'win']","['radiation', 'done', 'lost', 'come', 'back', 'cancer', 'behind', 'win']",radiation done lost come back cancer behind win,2
infusion nothing ordeal comes afterwards begin deal side effects chemo neuropathy nausea diarrhea acid reflux ad infinitum experience discomfort sensations acquired language describe exactly pain exactly pressure exactly nausea exactly know explain really symptoms caused disease cure,"['infusion', 'nothing', 'ordeal', 'comes', 'afterwards', 'begin', 'deal', 'side', 'effects', 'chemo', 'neuropathy', 'nausea', 'diarrhea', 'acid', 'reflux', 'ad', 'infinitum', 'experience', 'discomfort', 'sensations', 'acquired', 'language', 'describe', 'exactly', 'pain', 'exactly', 'pressure', 'exactly', 'nausea', 'exactly', 'know', 'explain', 'really', 'symptoms', 'caused', 'disease', 'cure']","['infusion', 'nothing', 'come', 'sid', 'effects', 'chemo', 'nausea', 'acid', 'experience', 'exactly', 'pain', 'exactly', 'exactly', 'nausea', 'exactly', 'know', 'really', 'disease', 'cure']",infusion nothing come sid effects chemo nausea acid experience exactly pain exactly exactly nausea exactly know really disease cure,2
way young thu need disclose causing cancers,"['way', 'young', 'thu', 'need', 'disclose', 'causing', 'cancers']","['way', 'young', 'need', 'cancer']",way young need cancer,1
27 death rate chemotherapy google friend died heart attack cardio toxicity chemo,"['27', 'death', 'rate', 'chemotherapy', 'google', 'friend', 'died', 'heart', 'attack', 'cardio', 'toxicity', 'chemo']","['death', 'chemotherapy', 'friend', 'died', 'heart', 'attack', 'chemo']",death chemotherapy friend died heart attack chemo,1
pomegranate kills cancer cells kiwi fruit great garlic good fish oil great also,"['pomegranate', 'kills', 'cancer', 'cells', 'kiwi', 'fruit', 'great', 'garlic', 'good', 'fish', 'oil', 'great', 'also']","['kill', 'cancer', 'cell', 'fruit', 'great', 'good', 'oil', 'great', 'also']",kill cancer cell fruit great good oil great also,3
start process never seen port thank sharing us,"['start', 'process', 'never', 'seen', 'port', 'thank', 'sharing', 'us']","['start', 'process', 'never', 'seen', 'port', 'thank', 'sharing']",start process never seen port thank sharing,1
belive jesus medicine,"['belive', 'jesus', 'medicine']","['jesu', 'medicin']",jesu medicin,1
itzzz shee good,"['itzzz', 'shee', 'good']",['good'],good,3
ugh breast cancer would sacks cancer waiting happen cut altogether prophylactic measure scared surgery would get insurance cover claiming non binary trans identity disgustingly fat skinny body anyway,"['ugh', 'breast', 'cancer', 'would', 'sacks', 'cancer', 'waiting', 'happen', 'cut', 'altogether', 'prophylactic', 'measure', 'scared', 'surgery', 'would', 'get', 'insurance', 'cover', 'claiming', 'non', 'binary', 'trans', 'identity', 'disgustingly', 'fat', 'skinny', 'body', 'anyway']","['breast', 'cancer', 'would', 'cancer', 'waiting', 'happen', 'scared', 'surgery', 'would', 'get', 'cover', 'non', 'fat', 'body', 'anyway']",breast cancer would cancer waiting happen scared surgery would get cover non fat body anyway,1
hospice industry years people live longer chemo unless cancer vital organ heart lungs brain chemo causes mets,"['hospice', 'industry', 'years', 'people', 'live', 'longer', 'chemo', 'unless', 'cancer', 'vital', 'organ', 'heart', 'lungs', 'brain', 'chemo', 'causes', 'mets']","['year', 'people', 'live', 'chemo', 'cancer', 'heart', 'lung', 'brain', 'chemo', 'cause', 'mettre']",year people live chemo cancer heart lung brain chemo cause mettre,2
may recover fast,"['may', 'recover', 'fast']","['may', 'recover', 'fast']",may recover fast,2
stop cancer track stop eating sugar drink hot water fresh squeezed lemon juice month,"['stop', 'cancer', 'track', 'stop', 'eating', 'sugar', 'drink', 'hot', 'water', 'fresh', 'squeezed', 'lemon', 'juice', 'month']","['stop', 'cancer', 'stop', 'eating', 'sugar', 'drink', 'hot', 'water', 'lemon', 'month']",stop cancer stop eating sugar drink hot water lemon month,2
eat apricot seeds cure cancer,"['eat', 'apricot', 'seeds', 'cure', 'cancer']","['eat', 'cure', 'cancer']",eat cure cancer,1
ela faleceu,"['ela', 'faleceu']",[],,1
may god bless cancer thank god bad never chemo radiation kind stuff may god bless brave person get lots love hope god get young world cruel like everything poison soil water even imagine really god bless 100 times,"['may', 'god', 'bless', 'cancer', 'thank', 'god', 'bad', 'never', 'chemo', 'radiation', 'kind', 'stuff', 'may', 'god', 'bless', 'brave', 'person', 'get', 'lots', 'love', 'hope', 'god', 'get', 'young', 'world', 'cruel', 'like', 'everything', 'poison', 'soil', 'water', 'even', 'imagine', 'really', 'god', 'bless', '100', 'times']","['may', 'god', 'bles', 'cancer', 'thank', 'god', 'bad', 'never', 'chemo', 'radiation', 'kind', 'stuff', 'may', 'god', 'bles', 'brave', 'person', 'get', 'lot', 'lover', 'hop', 'god', 'get', 'young', 'world', 'cruel', 'like', 'everything', 'poison', 'water', 'even', 'imagine', 'really', 'god', 'bless', '100', 'time']",may god bles cancer thank god bad never chemo radiation kind stuff may god bles brave person get lot lover hop god get young world cruel like everything poison water even imagine really god bless 100 time,1
went chemo radiation breast cancer supposed 4 infusions sick could 3 supposed 12 weeks chemo allergic drug also 20 radiation treatments,"['went', 'chemo', 'radiation', 'breast', 'cancer', 'supposed', 'infusions', 'sick', 'could', 'supposed', '12', 'weeks', 'chemo', 'allergic', 'drug', 'also', '20', 'radiation', 'treatments']","['went', 'chemo', 'radiation', 'breast', 'cancer', 'infusion', 'sick', 'could', 'weeks', 'chemo', 'allergic', 'drug', 'also', 'radiation', 'treatment']",went chemo radiation breast cancer infusion sick could weeks chemo allergic drug also radiation treatment,4
ask jesus forgive sins heal,"['ask', 'jesus', 'forgive', 'sins', 'heal']","['ask', 'jesu', 'sin', 'heal']",ask jesu sin heal,1
praying healing first time channel god husband,"['praying', 'healing', 'first', 'time', 'channel', 'god', 'husband']","['praying', 'healing', 'first', 'tim', 'channel', 'god', 'husband']",praying healing first tim channel god husband,2
hope feeling good,"['hope', 'feeling', 'good']","['hope', 'feeling', 'good']",hope feeling good,3
tesò ho fatto 6 flebo 35 trattamenti di radio tutto nel 2017 per 5 anni ormone terapia sono trascorsi ben 6 anni adesso ho nuovamente ciclo sto bene aver sofferto non si dimentica bisogna avere tanto coraggio fede sono sposata abbiamo una figlia di 16 anni viva vita,"['tesò', 'ho', 'fatto', 'flebo', '35', 'trattamenti', 'di', 'radio', 'tutto', 'nel', '2017', 'per', 'anni', 'ormone', 'terapia', 'sono', 'trascorsi', 'ben', 'anni', 'adesso', 'ho', 'nuovamente', 'ciclo', 'sto', 'bene', 'aver', 'sofferto', 'non', 'si', 'dimentica', 'bisogna', 'avere', 'tanto', 'coraggio', 'fede', 'sono', 'sposata', 'abbiamo', 'una', 'figlia', 'di', '16', 'anni', 'viva', 'vita']","['per', 'non', 'una']",per non una,1
wife cancer port became expert feeding cleaning port botched gallbladder surgery took 14 years passed miss today passed video popped feed look like came back months hospitals times taking care feeding port pray husband wife passed 10 years ago woman ever love hospital visits time kind hard would gladly spend hospital visit matter long boring presence beautiful wife god bless,"['wife', 'cancer', 'port', 'became', 'expert', 'feeding', 'cleaning', 'port', 'botched', 'gallbladder', 'surgery', 'took', '14', 'years', 'passed', 'miss', 'today', 'passed', 'video', 'popped', 'feed', 'look', 'like', 'came', 'back', 'months', 'hospitals', 'times', 'taking', 'care', 'feeding', 'port', 'pray', 'husband', 'wife', 'passed', '10', 'years', 'ago', 'woman', 'ever', 'love', 'hospital', 'visits', 'time', 'kind', 'hard', 'would', 'gladly', 'spend', 'hospital', 'visit', 'matter', 'long', 'boring', 'presence', 'beautiful', 'wife', 'god', 'bless']","['wife', 'cancer', 'port', 'port', 'surgery', 'took', 'year', 'passed', 'miss', 'today', 'passed', 'video', 'look', 'like', 'back', 'month', 'hospital', 'time', 'taking', 'care', 'port', 'pray', 'husband', 'wife', 'passed', 'year', 'ago', 'woman', 'ever', 'lover', 'hospital', 'visit', 'tim', 'kind', 'hard', 'would', 'hospital', 'visit', 'long', 'beautiful', 'wife', 'god', 'bles']",wife cancer port port surgery took year passed miss today passed video look like back month hospital time taking care port pray husband wife passed year ago woman ever lover hospital visit tim kind hard would hospital visit long beautiful wife god bles,2
cancer devil disease cure,"['cancer', 'devil', 'disease', 'cure']","['cancer', 'devil', 'cure']",cancer devil cure,1
caraaaa stella,"['caraaaa', 'stella']",[],,1
never someone accompany treatments would nice,"['never', 'someone', 'accompany', 'treatments', 'would', 'nice']","['never', 'someone', 'treatment', 'would']",never someone treatment would,1
update delia still praying,"['update', 'delia', 'still', 'praying']","['delia', 'still', 'praying']",delia still praying,1
wonder much injection chemo costs sad imagine merica dam greedy healthcare system truly heart breaking,"['wonder', 'much', 'injection', 'chemo', 'costs', 'sad', 'imagine', 'merica', 'dam', 'greedy', 'healthcare', 'system', 'truly', 'heart', 'breaking']","['wonder', 'much', 'chemo', 'sad', 'imagine', 'system', 'truly', 'heart']",wonder much chemo sad imagine system truly heart,0
love support young sarah mcwilliams,"['love', 'support', 'young', 'sarah', 'mcwilliams']","['lover', 'support', 'young']",lover support young,1
thank much sharing story undergo chemo radiation hodgkin lymphoma seeing undergoing chemo session informative helps take away fear unknown hope well continue strong,"['thank', 'much', 'sharing', 'story', 'undergo', 'chemo', 'radiation', 'hodgkin', 'lymphoma', 'seeing', 'undergoing', 'chemo', 'session', 'informative', 'helps', 'take', 'away', 'fear', 'unknown', 'hope', 'well', 'continue', 'strong']","['thank', 'much', 'sharing', 'story', 'chemo', 'radiation', 'hodgkin', 'lymphoma', 'seeing', 'chemo', 'help', 'take', 'away', 'fear', 'hop', 'well', 'continuer', 'strong']",thank much sharing story chemo radiation hodgkin lymphoma seeing chemo help take away fear hop well continuer strong,2
updates health hope shes well,"['updates', 'health', 'hope', 'shes', 'well']","['health', 'hope', 'well']",health hope well,1
although survived chemo radiation almost 30 years ago 35 aged radiation induced cardiac problems well gonad failure really getting tired,"['although', 'survived', 'chemo', 'radiation', 'almost', '30', 'years', 'ago', '35', 'aged', 'radiation', 'induced', 'cardiac', 'problems', 'well', 'gonad', 'failure', 'really', 'getting', 'tired']","['chemo', 'radiation', 'almost', 'year', 'ago', 'radiation', 'problem', 'well', 'really', 'getting', 'tired']",chemo radiation almost year ago radiation problem well really getting tired,0
critical moment try ask help allah alone,"['critical', 'moment', 'try', 'ask', 'help', 'allah', 'alone']","['moment', 'try', 'ask', 'help', 'allah', 'alone']",moment try ask help allah alone,1
life short test plss die none muslim everything leaving ya god allah never leaving ya love love prophets adem noah ibraham sulomon gautam krisna moses jesus muhammad 124 000 prophets messengers muslim,"['life', 'short', 'test', 'plss', 'die', 'none', 'muslim', 'everything', 'leaving', 'ya', 'god', 'allah', 'never', 'leaving', 'ya', 'love', 'love', 'prophets', 'adem', 'noah', 'ibraham', 'sulomon', 'gautam', 'krisna', 'moses', 'jesus', 'muhammad', '124', '000', 'prophets', 'messengers', 'muslim']","['life', 'test', 'die', 'everything', 'god', 'allah', 'never', 'lover', 'lover', 'jesu']",life test die everything god allah never lover lover jesu,1
medications stem cell transplant 8 years ago feel normal keep fighting,"['medications', 'stem', 'cell', 'transplant', 'years', 'ago', 'feel', 'normal', 'keep', 'fighting']","['medication', 'stem', 'cell', 'transpler', 'year', 'ago', 'feel', 'normal', 'keep', 'fighting']",medication stem cell transpler year ago feel normal keep fighting,2
thank much sharing story means much people diagnosed scared unknown know easy fun strength gives everyone much hope,"['thank', 'much', 'sharing', 'story', 'means', 'much', 'people', 'diagnosed', 'scared', 'unknown', 'know', 'easy', 'fun', 'strength', 'gives', 'everyone', 'much', 'hope']","['thank', 'much', 'sharing', 'story', 'much', 'peopl', 'diagnosed', 'scared', 'know', 'easy', 'fun', 'strength', 'give', 'everyone', 'much', 'hop']",thank much sharing story much peopl diagnosed scared know easy fun strength give everyone much hop,2
alot braver,"['alot', 'braver']",[],,1
beautiful getting chemo,"['beautiful', 'getting', 'chemo']","['beautiful', 'getting', 'chemo']",beautiful getting chemo,3
looks pretty disease,"['looks', 'pretty', 'disease']","['look', 'pretty', 'disease']",look pretty disease,2
brother diagnosed rare cancer last week 27years old fibrolamellar rare cancer kids youth adults exposed get understand whyyy brother healthy stage 4 advance familys life change second pray god every single day lord jesus pls lord help brother young doctors know nothing cancer anyone knows specialist rare cancer pls let know asking players brother david,"['brother', 'diagnosed', 'rare', 'cancer', 'last', 'week', '27years', 'old', 'fibrolamellar', 'rare', 'cancer', 'kids', 'youth', 'adults', 'exposed', 'get', 'understand', 'whyyy', 'brother', 'healthy', 'stage', 'advance', 'familys', 'life', 'change', 'second', 'pray', 'god', 'every', 'single', 'day', 'lord', 'jesus', 'pls', 'lord', 'help', 'brother', 'young', 'doctors', 'know', 'nothing', 'cancer', 'anyone', 'knows', 'specialist', 'rare', 'cancer', 'pls', 'let', 'know', 'asking', 'players', 'brother', 'david']","['brother', 'diagnosed', 'rare', 'cancer', 'last', 'week', 'old', 'rare', 'cancer', 'kid', 'get', 'understand', 'brother', 'healthy', 'stage', 'family', 'life', 'change', 'second', 'pray', 'god', 'every', 'single', 'day', 'lord', 'jesu', 'lord', 'help', 'brother', 'young', 'doctor', 'know', 'nothing', 'cancer', 'anyon', 'know', 'rare', 'cancer', 'let', 'know', 'brother']",brother diagnosed rare cancer last week old rare cancer kid get understand brother healthy stage family life change second pray god every single day lord jesu lord help brother young doctor know nothing cancer anyon know rare cancer let know brother,2
get well soon saying prayer,"['get', 'well', 'soon', 'saying', 'prayer']","['get', 'well', 'soon', 'saying', 'prayer']",get well soon saying prayer,1
yesterday hospital exactly port exactly chemo,"['yesterday', 'hospital', 'exactly', 'port', 'exactly', 'chemo']","['hospital', 'exactly', 'port', 'exactly', 'chemo']",hospital exactly port exactly chemo,2
tchandana,['tchandana'],[],,1
prayers sister,"['prayers', 'sister']","['prayer', 'sister']",prayer sister,1
thank video get well soon,"['thank', 'video', 'get', 'well', 'soon']","['thank', 'video', 'get', 'well', 'soon']",thank video get well soon,1
gute besserung welchen krebs hatten sie,"['gute', 'besserung', 'welchen', 'krebs', 'hatten', 'sie']",['gut'],gut,1
sister dead previous year breast cancer fully broke life,"['sister', 'dead', 'previous', 'year', 'breast', 'cancer', 'fully', 'broke', 'life']","['sister', 'dead', 'year', 'breast', 'cancer', 'broke', 'lif']",sister dead year breast cancer broke lif,0
https www youtube com watch toz41utt hk,"['https', 'www', 'youtube', 'com', 'watch', 'toz41utt', 'hk']","['http', 'youtube', 'com', 'watch']",http youtube com watch,1
girlfriend suffering cancer,"['girlfriend', 'suffering', 'cancer']","['suffering', 'cancer']",suffering cancer,1
god bless young pray fast recovery,"['god', 'bless', 'young', 'pray', 'fast', 'recovery']","['god', 'bles', 'young', 'pray', 'fast', 'recovery']",god bles young pray fast recovery,2
may god heal,"['may', 'god', 'heal']","['may', 'god', 'heal']",may god heal,1
unfortunately treatments personal alone experiences 90 plus percent treatments since 2014 strange wife actually,"['unfortunately', 'treatments', 'personal', 'alone', 'experiences', '90', 'plus', 'percent', 'treatments', 'since', '2014', 'strange', 'wife', 'actually']","['unfortunately', 'treatment', 'personal', 'alone', 'experience', 'plus', 'treatment', 'since', 'wife', 'actually']",unfortunately treatment personal alone experience plus treatment since wife actually,0
brave soul great aid kill cancer cells would cyanide molecule found apricot seed derivitives amygdala pills laetrile serum derived apricot seeds cyanide breaks free three molecule attached presence cancer cells otherwise four molecule group passes harmlessly body phillip bissell book alive well shows 300 patients successes excerpts found internet god bless,"['brave', 'soul', 'great', 'aid', 'kill', 'cancer', 'cells', 'would', 'cyanide', 'molecule', 'found', 'apricot', 'seed', 'derivitives', 'amygdala', 'pills', 'laetrile', 'serum', 'derived', 'apricot', 'seeds', 'cyanide', 'breaks', 'free', 'three', 'molecule', 'attached', 'presence', 'cancer', 'cells', 'otherwise', 'four', 'molecule', 'group', 'passes', 'harmlessly', 'body', 'phillip', 'bissell', 'book', 'alive', 'well', 'shows', '300', 'patients', 'successes', 'excerpts', 'found', 'internet', 'god', 'bless']","['brave', 'saoûl', 'great', 'kill', 'cancer', 'cell', 'would', 'found', 'break', 'free', 'three', 'cancer', 'cell', 'four', 'body', 'well', 'show', 'patient', 'found', 'god', 'bles']",brave saoûl great kill cancer cell would found break free three cancer cell four body well show patient found god bles,2
stay strong tough god bless,"['stay', 'strong', 'tough', 'god', 'bless']","['stay', 'strong', 'tough', 'god', 'bles']",stay strong tough god bles,1
steroid appetite die allergic reaction allergic reaction,"['steroid', 'appetite', 'die', 'allergic', 'reaction', 'allergic', 'reaction']","['steroid', 'die', 'allergic', 'allergic']",steroid die allergic allergic,1
red devil doxyrubsin nasty customer strongest toxic around,"['red', 'devil', 'doxyrubsin', 'nasty', 'customer', 'strongest', 'toxic', 'around']","['red', 'devil', 'nasty', 'strongest', 'around']",red devil nasty strongest around,0
diagnosed uterine cervical cancer power port put last week go 1st chemo treatment tomorrow june 30th lucky somebody family talk friends going alone mom would go lost als 2016 49 august 1st last chemo treatment august 11th ct scan tumor shrunk surgery hysterectomy another 3 rounds chemo 1 every 3 weeks 6 months total chemo idk stay positive scared crapless know expect suffer high anxiety already getting heartburn eating tums like candy pray fully recover thankfully mine caught early due pelvic exam ladies please forget could save life like mine going lose hair tho waist length bald birthday crap hey least grow back lucky survive,"['diagnosed', 'uterine', 'cervical', 'cancer', 'power', 'port', 'put', 'last', 'week', 'go', '1st', 'chemo', 'treatment', 'tomorrow', 'june', '30th', 'lucky', 'somebody', 'family', 'talk', 'friends', 'going', 'alone', 'mom', 'would', 'go', 'lost', 'als', '2016', '49', 'august', '1st', 'last', 'chemo', 'treatment', 'august', '11th', 'ct', 'scan', 'tumor', 'shrunk', 'surgery', 'hysterectomy', 'another', 'rounds', 'chemo', 'every', 'weeks', 'months', 'total', 'chemo', 'idk', 'stay', 'positive', 'scared', 'crapless', 'know', 'expect', 'suffer', 'high', 'anxiety', 'already', 'getting', 'heartburn', 'eating', 'tums', 'like', 'candy', 'pray', 'fully', 'recover', 'thankfully', 'mine', 'caught', 'early', 'due', 'pelvic', 'exam', 'ladies', 'please', 'forget', 'could', 'save', 'life', 'like', 'mine', 'going', 'lose', 'hair', 'tho', 'waist', 'length', 'bald', 'birthday', 'crap', 'hey', 'least', 'grow', 'back', 'lucky', 'survive']","['diagnosed', 'cancer', 'power', 'port', 'pouvoir', 'last', 'week', 'chemo', 'treatment', 'tomorrow', 'lucky', 'family', 'talk', 'friend', 'going', 'alon', 'mom', 'would', 'lost', 'august', 'last', 'chemo', 'treatment', 'august', 'tumor', 'shrunk', 'surgery', 'another', 'round', 'chemo', 'every', 'week', 'month', 'total', 'chemo', 'stay', 'positif', 'scared', 'know', 'high', 'already', 'getting', 'eating', 'like', 'candy', 'pray', 'recover', 'min', 'devoir', 'lady', 'please', 'forget', 'could', 'sav', 'life', 'like', 'min', 'going', 'hair', 'birthday', 'hey', 'least', 'back', 'lucky']",diagnosed cancer power port pouvoir last week chemo treatment tomorrow lucky family talk friend going alon mom would lost august last chemo treatment august tumor shrunk surgery another round chemo every week month total chemo stay positif scared know high already getting eating like candy pray recover min devoir lady please forget could sav life like min going hair birthday hey least back lucky,1
strong drug pray,"['strong', 'drug', 'pray']","['strong', 'drug', 'pray']",strong drug pray,2
chemotherapy kill faster,"['chemotherapy', 'kill', 'faster']","['chemotherapy', 'kill']",chemotherapy kill,1
god bless beautiful lady,"['god', 'bless', 'beautiful', 'lady']","['god', 'bles', 'beautiful', 'lady']",god bles beautiful lady,3
